plate id,solution,Concentration 1,Concentration 2,Concentration 3,Concentration 4,Position 1,Position 2,Position 3,Position 4
Plate 1,A1,8,40,200,1000,A4,A3,A2,A1
Plate 1,B1,8,40,200,1000,C4,C3,C2,C1
Plate 1,C1,8,40,200,1000,E4,E3,E2,E1
Plate 1,D1,8,40,200,1000,G4,G3,G2,G1
Plate 1,E1,8,40,200,1000,I4,I3,I2,I1
Plate 1,F1,8,40,200,1000,K4,K3,K2,K1
Plate 1,G1,8,40,200,1000,M4,M3,M2,M1
Plate 1,H1,8,40,200,1000,O4,O3,O2,O1
Plate 1,A2,8,40,200,1000,B4,B3,B2,B1
Plate 1,B2,8,40,200,1000,D4,D3,D2,D1
Plate 1,C2,8,40,200,1000,F4,F3,F2,F1
Plate 1,D2,8,40,200,1000,H4,H3,H2,H1
Plate 1,E2,8,40,200,1000,J4,J3,J2,J1
Plate 1,F2,8,40,200,1000,L4,L3,L2,L1
Plate 1,G2,8,40,200,1000,N4,N3,N2,N1
Plate 1,H2,8,40,200,1000,P4,P3,P2,P1
Plate 1,A3,8,40,200,1000,A8,A7,A6,A5
Plate 1,B3,8,40,200,1000,C8,C7,C6,C5
Plate 1,C3,8,40,200,1000,E8,E7,E6,E5
Plate 1,D3,8,40,200,1000,G8,G7,G6,G5
Plate 1,E3,8,40,200,1000,I8,I7,I6,I5
Plate 1,F3,8,40,200,1000,K8,K7,K6,K5
Plate 1,G3,8,40,200,1000,M8,M7,M6,M5
Plate 1,H3,8,40,200,1000,O8,O7,O6,O5
Plate 1,A4,8,40,200,1000,B8,B7,B6,B5
Plate 1,B4,8,40,200,1000,D8,D7,D6,D5
Plate 1,C4,8,40,200,1000,F8,F7,F6,F5
Plate 1,D4,8,40,200,1000,H8,H7,H6,H5
Plate 1,E4,8,40,200,1000,J8,J7,J6,J5
Plate 1,F4,8,40,200,1000,L8,L7,L6,L5
Plate 1,G4,8,40,200,1000,N8,N7,N6,N5
Plate 1,H4,8,40,200,1000,P8,P7,P6,P5
Plate 1,A5,8,40,200,1000,A12,A11,A10,A9
Plate 1,B5,8,40,200,1000,C12,C11,C10,C9
Plate 1,C5,8,40,200,1000,E12,E11,E10,E9
Plate 1,D5,8,40,200,1000,G12,G11,G10,G9
Plate 1,E5,8,40,200,1000,I12,I11,I10,I9
Plate 1,F5,8,40,200,1000,K12,K11,K10,K9
Plate 1,G5,8,40,200,1000,M12,M11,M10,M9
Plate 1,H5,8,40,200,1000,O12,O11,O10,O9
Plate 1,A6,8,40,200,1000,B12,B11,B10,B9
Plate 1,B6,8,40,200,1000,D12,D11,D10,D9
Plate 1,C6,8,40,200,1000,F12,F11,F10,F9
Plate 1,D6,8,40,200,1000,H12,H11,H10,H9
Plate 1,E6,8,40,200,1000,J12,J11,J10,J9
Plate 1,F6,8,40,200,1000,L12,L11,L10,L9
Plate 1,G6,8,40,200,1000,N12,N11,N10,N9
Plate 1,H6,8,40,200,1000,P12,P11,P10,P9
Plate 1,A7,8,40,200,1000,A16,A15,A14,A13
Plate 1,B7,8,40,200,1000,C16,C15,C14,C13
Plate 1,C7,8,40,200,1000,E16,E15,E14,E13
Plate 1,D7,8,40,200,1000,G16,G15,G14,G13
Plate 1,E7,8,40,200,1000,I16,I15,I14,I13
Plate 1,F7,8,40,200,1000,K16,K15,K14,K13
Plate 1,G7,8,40,200,1000,M16,M15,M14,M13
Plate 1,H7,8,40,200,1000,O16,O15,O14,O13
Plate 1,A8,8,40,200,1000,B16,B15,B14,B13
Plate 1,B8,8,40,200,1000,D16,D15,D14,D13
Plate 1,C8,8,40,200,1000,F16,F15,F14,F13
Plate 1,D8,8,40,200,1000,H16,H15,H14,H13
Plate 1,E8,8,40,200,1000,J16,J15,J14,J13
Plate 1,F8,8,40,200,1000,L16,L15,L14,L13
Plate 1,G8,8,40,200,1000,N16,N15,N14,N13
Plate 1,H8,8,40,200,1000,P16,P15,P14,P13
Plate 1,A13,8,40,200,1000,A20,A19,A18,A17
Plate 1,B13,8,40,200,1000,C20,C19,C18,C17
Plate 1,C13,8,40,200,1000,E20,E19,E18,E17
Plate 1,D13,8,40,200,1000,G20,G19,G18,G17
Plate 1,E13,8,40,200,1000,I20,I19,I18,I17
Plate 1,F13,8,40,200,1000,K20,K19,K18,K17
Plate 1,G13,8,40,200,1000,M20,M19,M18,M17
Plate 1,H13,8,40,200,1000,O20,O19,O18,O17
Plate 1,A10,8,40,200,1000,B20,B19,B18,B17
Plate 1,B10,8,40,200,1000,D20,D19,D18,D17
Plate 1,C10,8,40,200,1000,F20,F19,F18,F17
Plate 1,D10,8,40,200,1000,H20,H19,H18,H17
Plate 1,E10,8,40,200,1000,J20,J19,J18,J17
Plate 1,F10,8,40,200,1000,L20,L19,L18,L17
Plate 1,G10,8,40,200,1000,N20,N19,N18,N17
Plate 1,H10,8,40,200,1000,P20,P19,P18,P17
Plate 1,A11,8,40,200,1000,A24,A23,A22,A21
Plate 1,B11,8,40,200,1000,C24,C23,C22,C21
Plate 1,C11,8,40,200,1000,E24,E23,E22,E21
Plate 1,D11,8,40,200,1000,G24,G23,G22,G21
Plate 1,E11,8,40,200,1000,I24,I23,I22,I21
Plate 1,F11,8,40,200,1000,K24,K23,K22,K21
Plate 1,G11,8,40,200,1000,M24,M23,M22,M21
Plate 1,H11,8,40,200,1000,O24,O23,O22,O21
Plate 1,A12,8,40,200,1000,B24,B23,B22,B21
Plate 1,B12,8,40,200,1000,D24,D23,D22,D21
Plate 1,C12,8,40,200,1000,F24,F23,F22,F21
Plate 1,D12,8,40,200,1000,H24,H23,H22,H21
Plate 1,E12,8,40,200,1000,J24,J23,J22,J21
Plate 1,F12,8,40,200,1000,L24,L23,L22,L21
Plate 1,G12,8,40,200,1000,N24,N23,N22,N21
Plate 1,H12,8,40,200,1000,P24,P23,P22,P21
Plate 2,A1_2,8,40,200,1000,A4,A3,A2,A1
Plate 2,B1_2,8,40,200,1000,C4,C3,C2,C1
Plate 2,C1_2,8,40,200,1000,E4,E3,E2,E1
Plate 2,D1_2,8,40,200,1000,G4,G3,G2,G1
Plate 2,E1_2,8,40,200,1000,I4,I3,I2,I1
Plate 2,F1_2,8,40,200,1000,K4,K3,K2,K1
Plate 2,G1_2,8,40,200,1000,M4,M3,M2,M1
Plate 2,H1_2,8,40,200,1000,O4,O3,O2,O1
Plate 2,A2_2,8,40,200,1000,B4,B3,B2,B1
Plate 2,B2_2,8,40,200,1000,D4,D3,D2,D1
Plate 2,C2_2,8,40,200,1000,F4,F3,F2,F1
Plate 2,D2_2,8,40,200,1000,H4,H3,H2,H1
Plate 2,E2_2,8,40,200,1000,J4,J3,J2,J1
Plate 2,F2_2,8,40,200,1000,L4,L3,L2,L1
Plate 2,G2_2,8,40,200,1000,N4,N3,N2,N1
Plate 2,H2_2,8,40,200,1000,P4,P3,P2,P1
Plate 2,A3_2,8,40,200,1000,A8,A7,A6,A5
Plate 2,B3_2,8,40,200,1000,C8,C7,C6,C5
Plate 2,C3_2,8,40,200,1000,E8,E7,E6,E5
Plate 2,D3_2,8,40,200,1000,G8,G7,G6,G5
Plate 2,E3_2,8,40,200,1000,I8,I7,I6,I5
Plate 2,F3_2,8,40,200,1000,K8,K7,K6,K5
Plate 2,G3_2,8,40,200,1000,M8,M7,M6,M5
Plate 2,H3_2,8,40,200,1000,O8,O7,O6,O5
Plate 2,A4_2,8,40,200,1000,B8,B7,B6,B5
Plate 2,B4_2,8,40,200,1000,D8,D7,D6,D5
Plate 2,C4_2,8,40,200,1000,F8,F7,F6,F5
Plate 2,D4_2,8,40,200,1000,H8,H7,H6,H5
Plate 2,E4_2,8,40,200,1000,J8,J7,J6,J5
Plate 2,F4_2,8,40,200,1000,L8,L7,L6,L5
Plate 2,G4_2,8,40,200,1000,N8,N7,N6,N5
Plate 2,H4_2,8,40,200,1000,P8,P7,P6,P5
Plate 2,A5_2,8,40,200,1000,A12,A11,A10,A9
Plate 2,B5_2,8,40,200,1000,C12,C11,C10,C9
Plate 2,C5_2,8,40,200,1000,E12,E11,E10,E9
Plate 2,D5_2,8,40,200,1000,G12,G11,G10,G9
Plate 2,E5_2,8,40,200,1000,I12,I11,I10,I9
Plate 2,F5_2,8,40,200,1000,K12,K11,K10,K9
Plate 2,G5_2,8,40,200,1000,M12,M11,M10,M9
Plate 2,H5_2,8,40,200,1000,O12,O11,O10,O9
Plate 2,A6_2,8,40,200,1000,B12,B11,B10,B9
Plate 2,B6_2,8,40,200,1000,D12,D11,D10,D9
Plate 2,C6_2,8,40,200,1000,F12,F11,F10,F9
Plate 2,D6_2,8,40,200,1000,H12,H11,H10,H9
Plate 2,E6_2,8,40,200,1000,J12,J11,J10,J9
Plate 2,F6_2,8,40,200,1000,L12,L11,L10,L9
Plate 2,G6_2,8,40,200,1000,N12,N11,N10,N9
Plate 2,H6_2,8,40,200,1000,P12,P11,P10,P9
Plate 2,A7_2,8,40,200,1000,A16,A15,A14,A13
Plate 2,B7_2,8,40,200,1000,C16,C15,C14,C13
Plate 2,C7_2,8,40,200,1000,E16,E15,E14,E13
Plate 2,D7_2,8,40,200,1000,G16,G15,G14,G13
Plate 2,E7_2,8,40,200,1000,I16,I15,I14,I13
Plate 2,F7_2,8,40,200,1000,K16,K15,K14,K13
Plate 2,G7_2,8,40,200,1000,M16,M15,M14,M13
Plate 2,H7_2,8,40,200,1000,O16,O15,O14,O13
Plate 2,A8_2,8,40,200,1000,B16,B15,B14,B13
Plate 2,B8_2,8,40,200,1000,D16,D15,D14,D13
Plate 2,C8_2,8,40,200,1000,F16,F15,F14,F13
Plate 2,D8_2,8,40,200,1000,H16,H15,H14,H13
Plate 2,E8_2,8,40,200,1000,J16,J15,J14,J13
Plate 2,F8_2,8,40,200,1000,L16,L15,L14,L13
Plate 2,G8_2,8,40,200,1000,N16,N15,N14,N13
Plate 2,H8_2,8,40,200,1000,P16,P15,P14,P13
Plate 2,A13_2,8,40,200,1000,A20,A19,A18,A17
Plate 2,B13_2,8,40,200,1000,C20,C19,C18,C17
Plate 2,C13_2,8,40,200,1000,E20,E19,E18,E17
Plate 2,D13_2,8,40,200,1000,G20,G19,G18,G17
Plate 2,E13_2,8,40,200,1000,I20,I19,I18,I17
Plate 2,F13_2,8,40,200,1000,K20,K19,K18,K17
Plate 2,G13_2,8,40,200,1000,M20,M19,M18,M17
Plate 2,H13_2,8,40,200,1000,O20,O19,O18,O17
Plate 2,A10_2,8,40,200,1000,B20,B19,B18,B17
Plate 2,B10_2,8,40,200,1000,D20,D19,D18,D17
Plate 2,C10_2,8,40,200,1000,F20,F19,F18,F17
Plate 2,D10_2,8,40,200,1000,H20,H19,H18,H17
